msgid,msgstr
This can be used to just create a big panel in a smaller laser cutter. But ^_^the actual use is to split large parts into multiple smaller pieces. Copy ^_^the outline onto the sheet and then use the pieces to cut it into multiple ^_^parts that each can fit your laser cutter. Note that each piece must be cut ^_^with the sheet surrounding it to ensure the burn correction (aka kerf) is ^_^correct. Depending on your vector graphics software you may need to ^_^duplicate your part multiple times and then generate the intersection ^_^between one copy and each rectangular part.\n^_^\n^_^The Boxes.py drawings assume that the laser is cutting in the center of the ^_^line and the width of the line represents the material that is cut away. ^_^Make sure your changes work the same way and you do not cutting away the ^_^kerf.\n^_^\n^_^Small dove tails make it easier to fit parts in without problems. Lookout ^_^for pieces cut loose where the dove tails meet the edge of the parts. Move ^_^your part if necessary to avoid dove tails or details of your part colliding ^_^in a weird way.\n^_^\n^_^For plywood this method works well with a very stiff press fit. Aim for ^_^needing a hammer to join the pieces together. This way they will feel like ^_^they have been welder together.\n^_^\n,"Это может быть использовано просто для создания большой панели в меньшем лазерном резаке. Но ^_^фактическое использование заключается в разделении больших частей на несколько меньших частей. Скопируйте ^_^контур на лист, а затем используйте части, чтобы разрезать его на несколько ^_^частей, каждая из которых может поместиться в ваш лазерный резак. Обратите внимание, что каждая часть должна быть вырезана ^_^с листом, окружающим её, чтобы обеспечить правильную коррекцию прожига (называемую kerf). ^_^В зависимости от вашего программного обеспечения векторной графики вам может потребоваться ^_^дублировать вашу часть несколько раз, а затем создать пересечение ^_^между одной копией и каждой прямоугольной частью.\n^_^\n^_^Чертежи Boxes.py предполагают, что лазер режет в центре ^_^линии, а ширина линии представляет материал, который вырезается. ^_^Убедитесь, что ваши изменения работают таким же образом, и вы не вырезаете ^_^kerf.\n^_^\n^_^Маленькие ласточкины хвосты облегчают подгонку частей без проблем. Обратите внимание ^_^на части, вырезанные свободно, где ласточкины хвосты встречаются с краем частей. Переместите ^_^вашу часть, если необходимо, чтобы избежать столкновения ласточкиных хвостов или деталей вашей части ^_^странным образом.\n^_^\n^_^Для фанеры этот метод хорошо работает с очень жесткой прессовой посадкой. Стремитесь к тому, чтобы ^_^нужен был молоток для соединения частей. Таким образом, они будут чувствоваться, как будто ^_^они были сварены вместе.\n^_^\n"
"\n^_^    This is a kamishibai butai (japanese image theatre), with several ^_^options for covering the different\n^_^    holes when put away.\n^_^    Magenta cuts should be performed before the blue cuts.\n^_^    The recommended wood thickness is 5 mm at least, particularly if you go ^_^for big sizes (which works\n^_^    fine with A4 or A3). If you use 3 mm, you should not use the screwing ^_^option (disabled by default),\n^_^    so you can assemble your box with glue or force the pieces together ^_^(using a bigger burn parameter).\n^_^    Please note that using the screwing option often means adding feet ^_^(which can be 3D printed for\n^_^    example). It makes the box easier to mount and unmount for repairing ^_^purposes, and the feet protect\n^_^    the wood from whatever surface the box is put on. Screws are not ^_^compatible with a small frame\n^_^    thickness (i.e. with sheets with a small margin).\n^_^    For assembling the box, please follow the following steps:\n^_^    1. Assemble the front side and back side pieces to the front and back of ^_^the front and back panels\n^_^    respectively\n^_^    2. Assemble the top handle pieces together and insert two of the plates ^_^into the two holes (centered);\n^_^    then insert the assembled handles into the dansle ceiling and add the ^_^two other plates\n^_^    3. Insert the front and back panels into the bottom panel\n^_^    4. Attach the handle between the top of the front and back panels, then ^_^add the top panel but do not\n^_^    fasten it yet, just keep it loose on top\n^_^    5. Assemble the locks together to the doors if enabled:\n^_^       5.1 lock with key : lock front - lock external - plate cut from the ^_^door (also add the door now) -\n^_^       lock internal\n^_^       5.2 lock simple : lock grip - lock external - plate cut from the door ^_^(also add the door now) -\n^_^       lock internal\n^_^       5.3 small extra locks for top and bottom : lock grip - plate cut from ^_^the door (also add the door\n^_^       now) - lock internal - lock spacer - lock locker\n^_^    6. Add the hinges to the doors if needed (for two-panes front doors)\n^_^    7. fasten the top\n^_^    8. Attach two side panel inner plates to a side panel with the two pegs ^_^(use glue if necessary) and\n^_^    repeat a second time\n^_^    9. If you use a lock with key, add the last short peg to the back plate ^_^(you may want to sand it a bit\n^_^    on the other half so that the key can be attached easily enough, but it ^_^should not fal off either)\n^_^    10. You should now be able to close and open all the doors\n^_^    Usage recommendations:\n^_^    1. Add your paper sheets fron one side or the other (normally you leave ^_^either left or right closed,\n^_^    depending on which is more comfortable for you)\n^_^    2. Thick paper is easier to handle ; if you print on a home printer, use ^_^the thickest you printer can\n^_^    print (probably around 200 grams per square meter) ; if you want extra ^_^quality, go to a printing shop\n^_^    and ask them for 300 grams per square meter printing\n^_^    3. You can also buy virgin drawing paper to write your own stories\n^_^    4. If you decided to go for the lock with key, you can ask one of the ^_^participants to unlock the box,\n^_^    it really helps in immersing into toe story\n^_^    5. If you need a kamishibai for showing images during a guided tour, you ^_^may choose to use the\n^_^    one-panel front, and use transparent acrylic for the back and front ^_^panels to keep you sheets\n^_^    protected from light rain ; you may need to cut the box from a rain-^_^resistant material\n^_^    (outside-compatible plywood or acrylic)\n^_^    ","\n^_^    Это камиcибай бутаи (японский театр картинок), с несколькими ^_^вариантами закрытия различных\n^_^    отверстий при хранении.\n^_^    Розовые разрезы должны выполняться до синих разрезов.\n^_^    Рекомендуемая толщина дерева — не менее 5 мм, особенно если вы делаете ^_^большие размеры (подходит\n^_^    для форматов A4 или A3). Если вы используете 3 мм, не используйте ^_^вариант со скручиванием (по умолчанию отключено),\n^_^    так что вы можете собрать коробку на клей или плотно подогнать детали ^_^(используя больший параметр прожига).\n^_^    Обратите внимание, что использование варианта со скручиванием часто ^_^означает добавление ножек (их можно напечатать на 3D-принтере,\n^_^    например). Это облегчает сборку и разборку коробки для ремонта, а ножки ^_^защищают\n^_^    дерево от поверхности, на которую ставится коробка. Винты не ^_^совместимы с тонкой рамкой\n^_^    (например, с листами с маленьким полем).\n^_^    Для сборки коробки выполните следующие шаги:\n^_^    1. Присоедините передние и задние боковые части к передней и задней ^_^панелям\n^_^    соответственно\n^_^    2. Соберите детали верхней ручки вместе и вставьте две пластины в два ^_^отверстия (по центру);\n^_^    затем вставьте собранные ручки в потолок и добавьте еще две пластины\n^_^    3. Вставьте переднюю и заднюю панели в нижнюю панель\n^_^    4. Прикрепите ручку между верхом передней и задней панелей, затем ^_^установите верхнюю панель, но не\n^_^    закрепляйте её, просто положите сверху\n^_^    5. Соберите замки на дверях, если они включены:\n^_^       5.1 замок с ключом: передняя часть замка — внешняя часть замка — ^_^пластина, вырезанная из двери (также добавьте дверь сейчас) —\n^_^       внутренняя часть замка\n^_^       5.2 простой замок: ручка замка — внешняя часть замка — пластина, ^_^вырезанная из двери (также добавьте дверь сейчас) —\n^_^       внутренняя часть замка\n^_^       5.3 маленькие дополнительные замки для верха и низа: ручка замка — ^_^пластина, вырезанная из двери (также добавьте дверь\n^_^       сейчас) — внутренняя часть замка — прокладка замка — фиксатор замка\n^_^    6. Добавьте петли к дверям, если нужно (для двухстворчатых передних ^_^дверей)\n^_^    7. закрепите верхнюю панель\n^_^    8. Прикрепите две внутренние пластины боковой панели к боковой панели с ^_^двумя штифтами (используйте клей, если нужно) и\n^_^    повторите второй раз\n^_^    9. Если вы используете замок с ключом, добавьте последний короткий ^_^штифт к задней пластине (можно немного зашлифовать\n^_^    с другой стороны, чтобы ключ можно было легко вставить, но чтобы он не ^_^выпадал)\n^_^    10. Теперь вы должны иметь возможность открывать и закрывать все двери\n^_^    Рекомендации по использованию:\n^_^    1. Вставляйте бумажные листы с одной или другой стороны (обычно одну ^_^сторону оставляют закрытой — левую или правую,\n^_^    в зависимости от того, как вам удобнее)\n^_^    2. Плотная бумага удобнее в обращении; если печатаете на домашнем ^_^принтере, используйте самую плотную бумагу, которую он может напечатать\n^_^    (обычно около 200 г/м²); если хотите лучшее качество, обратитесь в ^_^типографию\n^_^    и попросите печать на 300 г/м²\n^_^    3. Можно купить чистую бумагу для рисования и написать свои истории\n^_^    4. Если вы выбрали замок с ключом, можно попросить одного из участников ^_^открыть коробку —\n^_^    это помогает погрузиться в рассказ\n^_^    5. Если вам нужен камиcибай для показа изображений во время экскурсии, ^_^можно использовать\n^_^    переднюю панель с одним окном и прозрачный акрил для задней и передней ^_^панелей, чтобы защитить листы\n^_^    от легкого дождя; возможно, потребуется вырезать коробку из ^_^влагостойкого материала\n^_^    (наружная фанера или акрил)\n^_^    "
Thickness of the top handle in multiples of thickness (Set to 0 for no ^_^handle),"Толщина верхней ручки в кратных толщине (установите 0, чтобы не было ручки)"
Width of the top handle in mm (Set to 0 for no handle) ; the SheetStackDepth ^_^should be at least 4 x thickness more,"Ширина верхней ручки в мм (установите 0, чтобы не было ручки); глубина стопки листов должна быть не менее 4 x толщины больше"
"Back extra depth (for adding buttons for example), in multiples of ^_^thickness ; set to 0 to let the system calculate the smallest one","Дополнительная глубина сзади (например, для добавления кнопок), в кратных ^_^толщине; установите 0, чтобы система рассчитала минимальное значение"
"Margin for the pegs width in mm ; set to a lower value if the pieces are ^_^forced together, a higher value if the pieces slide easily into eachother ^_^(using screws or glue to assemble)","Запас по ширине штифтов в мм; установите меньшее значение, если детали ^_^собираются с натягом, большее — если детали легко входят друг в друга ^_^(используйте винты или клей для сборки)"
"Front extra depth (for attaching hinges for example), in multiples of ^_^thickness ; set to 0 to ignore or let the system calculate the smallest one","Дополнительная глубина спереди (например, для крепления петель), в кратных ^_^толщине; установите 0, чтобы игнорировать или позволить системе рассчитать минимальное значение"
separation of the cover holes from one another's center in mm (section ^_^parameter type) ; the first item is the distance from the border,расстояние между центрами отверстий крышки в мм (тип параметра ^_^секции); первый элемент — расстояние от края
separation of the box holes from one another's center in mm (section ^_^parameter type) ; the first item is the distance from the border,расстояние между центрами отверстий коробки в мм (тип параметра ^_^секции); первый элемент — расстояние от края
Distance of the screw axis from the side border (in multiples of thickness),Расстояние от оси винта до бокового края (в кратных толщине)
"Diameter of the screw holes for extra feet at the corners, in mm (set to 0 ^_^for no screws)","Диаметр отверстий под винты для дополнительных ножек в углах, в мм (установите 0, ^_^чтобы не было винтов)"
"Distance from the border for the axis of the extra feet at the corners, in ^_^mm (set to 0 for no screws)","Расстояние от края до оси дополнительных ножек в углах, в ^_^мм (установите 0, чтобы не было винтов)"
Example for a KeyHolder with a slightly larger backplate and 8 hooks. This ^_^uses 6mm plywood for extra stability.\n^_^\n^_^Closeup:\n^_^\n^_^![KeyHolder-2](static/samples/KeyHolder-2.jpg)\n^_^\n^_^Full picture:\n,Пример для держателя ключей с немного большей задней пластиной и 8 крючками. Используется фанера 6 мм для дополнительной прочности.\n^_^\n^_^Крупный план:\n^_^\n^_^![KeyHolder-2](static/samples/KeyHolder-2.jpg)\n^_^\n^_^Общий вид:\n
Note that top layers use a different material thickness according to the ^_^top1_thickness and top2_thickness (if enabled).,"Обратите внимание, что верхние слои используют другую толщину материала в соответствии с ^_^top1_thickness и top2_thickness (если включено)."
"thickness of the button hold layer, cherry like switches need 1.5mm or ^_^smaller to snap in","толщина слоя для крепления кнопки, переключатели типа cherry требуют 1,5 мм или ^_^меньше для фиксации"
"thickness of the hotplug layer, CPG151101S11 hotswap sockets need 1.2mm to ^_^1.5mm","толщина слоя для горячей замены, гнезда CPG151101S11 требуют 1,2–1,5 мм"
desired height between bottom of laptop and ground at lowest point (front of ^_^laptop stand),желаемая высота между низом ноутбука и поверхностью в самой низкой точке (передняя часть подставки для ^_^ноутбука)
You need a tension spring of the proper length to make the clamp work.\n^_^Increase extraheight to get more space for the spring and to make the\n^_^sliding mechanism less likely to bind. You may need to add some wax on the\n^_^parts sliding on each other to reduce friction.\n,"Вам потребуется пружина нужной длины, чтобы зажим работал.\n^_^Увеличьте дополнительную высоту, чтобы получить больше места для пружины и уменьшить\n^_^ вероятность заклинивания скользящего механизма. Возможно, потребуется нанести немного воска на скользящие\n^_^ детали для уменьшения трения.\n"
Bench power supply powered with Maktia 18V battery or laptop power supply,"Лабораторный блок питания, работающий от аккумулятора Maktia 18В или блока питания ноутбука"
"\n^_^Vitamins: DSP5005 (or similar) power supply, two banana sockets, two 4.8mm ^_^flat terminals with flat soldering tag\n^_^\n^_^To allow powering by laptop power supply: flip switch, Lenovo round socket ^_^(or adjust right  hole for different socket)\n","\n^_^Витамины: блок питания DSP5005 (или аналогичный), два гнезда «банан», два плоских клеммника 4,8 мм^_^ с плоской пайкой\n^_^\n^_^Для питания от блока питания ноутбука: переключите тумблер, используйте круглый разъем Lenovo^_^ (или подберите подходящее отверстие для другого разъема)\n"
diameter of the flipswitch mounting hole (disabled of no secondary power),"диаметр отверстия для установки тумблера (отключено, если нет второго питания)"
"## Simple WS2812b matrix enclosure\n^_^    WS2812b matrix enclosure for cheap chinease prebuild led matrixes.\n^_^    This design assumes that the distance between the leds is equal in both ^_^directions.\n^_^\n^_^    There are several parts to this design:\n^_^    - The inner frame to hold the pcb in place\n^_^    - The front frame to hold a sandwich of plexiglass, spacer and the pcb\n^_^    - The plexiglass to protect and diffuse the leds.\n^_^        You may add car tint foil to the plexiglass to achieve a black look\n^_^    - The spacer to keep the plexiglass from touching the leds\n^_^    - The back box with an optional mounting hole. Please add a hole for ^_^the\n^_^        power supply to the side panels and the power and data cables\n^_^        through the led mount frame with your favorite svg editor.\n^_^    - The side panels with finger joints to hold everything together\n^_^\n^_^    Assembly:\n^_^    1. Cut the parts\n^_^    2. Assemble the frame (side panels and inner frame)\n^_^    3. Insert the pcb, the spacers and the plexiglass\n^_^    4. Close the front frame\n^_^    5. Insert electronics in the back box\n^_^        (for example a USB C port on the side panel, a esp32 with wled ^_^firmware)\n^_^    6. Close the back box\n^_^\n^_^    The inner frame and spacer should keep everything in place without the ^_^need for glue.\n^_^    If you are using multiple modules,\n^_^    you can add the layout parameters, so that the inner frame adjusts ^_^accordingly.\n^_^\n^_^    Please Note: if you are creating a large matrix build of multiple ^_^individual modules,\n^_^    you need to enter absolute values across all modules for all ^_^parameters.\n^_^    Please cut the plane labeled \""Plexiglass\"" out of plexiglass :)\n^_^    You can use a different thickness for the plexiglass, but make sure to ^_^adjust the settings accordingly.\n^_^    ","## Простая коробка для матрицы WS2812b\n^_^    Корпус для матрицы WS2812b для дешевых китайских готовых led-матриц.\n^_^    В этом проекте предполагается, что расстояние между светодиодами одинаково в обоих направлениях.\n^_^\n^_^    В конструкции несколько частей:\n^_^    - Внутренняя рамка для фиксации платы\n^_^    - Передняя рамка для «сэндвича» из оргстекла, прокладки и платы\n^_^    - Оргстекло для защиты и рассеивания света светодиодов.\n^_^        Можно добавить автомобильную тонировку на оргстекло для черного эффекта\n^_^    - Прокладка, чтобы оргстекло не касалось светодиодов\n^_^    - Задняя коробка с дополнительным монтажным отверстием. Добавьте отверстие для\n^_^        блока питания на боковых панелях и для кабелей питания и данных\n^_^        через рамку крепления светодиодов с помощью любимого SVG-редактора.\n^_^    - Боковые панели с «пальчиковыми» соединениями для фиксации всей конструкции\n^_^\n^_^    Сборка:\n^_^    1. Вырежьте детали\n^_^    2. Соберите рамку (боковые панели и внутреннюю рамку)\n^_^    3. Вставьте плату, прокладки и оргстекло\n^_^    4. Закройте переднюю рамку\n^_^    5. Установите электронику в заднюю коробку\n^_^        (например, USB-C разъем на боковой панели, esp32 с прошивкой wled)\n^_^    6. Закройте заднюю коробку\n^_^\n^_^    Внутренняя рамка и прокладка должны удерживать все на месте без клея.\n^_^    Если вы используете несколько модулей,\n^_^    можно добавить параметры компоновки, чтобы внутренняя рамка подстраивалась соответственно.\n^_^\n^_^    Обратите внимание: если вы делаете большую матрицу из нескольких отдельных модулей,\n^_^    необходимо вводить абсолютные значения для всех параметров во всех модулях.\n^_^    Вырежьте плоскость с надписью «Plexiglass» из оргстекла :)\n^_^    Можно использовать оргстекло другой толщины, но не забудьте скорректировать настройки.\n^_^    "
Border of the back frame bo keep the pcb in blace but allow for air flow and ^_^cable management,"Край задней рамки для удержания платы на месте, но с возможностью вентиляции и укладки кабелей"
Distance of the color dividers. Make sure your machine is able to cut thin ^_^structures.,"Расстояние между цветными перегородками. Убедитесь, что ваш станок может вырезать тонкие элементы."
"adds an additional vertical segment to hold the switch in place, works best ^_^w/ --stable","добавляет дополнительный вертикальный сегмент для фиксации переключателя, лучше всего работает ^_^/w --stable"
This is a simple light box with a closed compartment for electronics and the ^_^backlighting.,Это простая световая коробка с закрытым отсеком для электроники и подсветки.
Night lightbox diffuser plate lock to prevent unwanted access to the ^_^electronics,"Замок для рассеивателя ночника, чтобы предотвратить несанкционированный доступ к ^_^электронике"
Diameter of the background acrylic diffuser plate locking screw hole in mm,Диаметр отверстия под винт для фиксации акрилового рассеивателя фона в мм
"Night lightbox options for the back side (holes for connectors, marking)","Опции для задней стороны ночника (отверстия для разъемов, маркировка)"
"extra holes for connectors or buttons ; enter one line per hole ; first ^_^parameter chould be R for rectangle or C for circle ; then X and Y position ^_^for the center of the hole, and then the X and Y size of the rectangle or ^_^the circle diameter, all in mm ; parameters should be separated by spaces","дополнительные отверстия для разъемов или кнопок; введите одну строку на отверстие; первый ^_^параметр — R для прямоугольника или C для круга; затем X и Y — координаты ^_^центра отверстия, затем размеры X и Y для прямоугольника или диаметр ^_^круга, все в мм; параметры разделяйте пробелом"
If the feet of the `Stackable` `bottom_edge`\n^_^don't fit on the front (and back) walls you can make them smaller by\n^_^reducing `width` and/or increasing `angle` in the `Settings for\n^_^Stackable Edges`. Reducing the `opening` will also give more space for\n^_^the feet.,"Если ножки `Stackable` `bottom_edge`\n^_^не помещаются на передней (и задней) стенках, вы можете сделать их меньше,\n^_^уменьшив `width` и/или увеличив `angle` в `Settings for\n^_^Stackable Edges`. Уменьшение `opening` также даст больше места для\n^_^ножек."
mouth to circumference ratio (0.1 to 0.45). Determines the width to depth ^_^ratio,отношение диаметра горлышка к окружности (0.1 до 0.45). Определяет соотношение ширины к глубине ^_^ratio
"\n^_^Box made of paper, with lid.\n","\n^_^Коробка из бумаги, с крышкой.\n"
"\n^_^This box is made of paper.\n^_^\n^_^There is marks in the \""outside leftover paper\"" to help see where to fold\n^_^(cutting with tabs helps use them). The cut is very precise, and could be ^_^too tight if misaligned when glued. A plywood box (such as a simple ^_^TypeTray) of the same size is a great guide during folding and gluing. Just ^_^fold the box against it. Accurate quick and easy.\n^_^\n^_^A paper creaser (or bone folder) is also useful.\n","\n^_^Эта коробка сделана из бумаги.\n^_^\n^_^На \""внешней оставшейся бумаге\"" есть метки, чтобы было видно, где сгибать\n^_^(вырезание с язычками помогает их использовать). Рез очень точный, и может быть слишком тугим, если при склеивании детали смещены. Коробка из фанеры (например, простой ^_^TypeTray) такого же размера — отличный шаблон для сгибания и склеивания. Просто ^_^сгибайте коробку по нему. Точно, быстро и просто.\n^_^\n^_^Также полезен биговщик для бумаги (или костяная палочка).\n"
different design for paper consumption optimization. The tuckbox also has ^_^locking cut for its lid.,другой дизайн для оптимизации расхода бумаги. У tuckbox также есть ^_^фиксирующий вырез для крышки.
\n^_^Smartphone desk holder\n,\n^_^Подставка для смартфона на стол\n
"\n^_^    This phone stand holds your phone between two tabs, with access to its\n^_^    bottom, in order to connect a charger, headphones, and also not to ^_^obstruct\n^_^    the mic.\n^_^\n^_^    Default values are currently based on Galaxy S7.\n","\n^_^    Эта подставка держит телефон между двумя язычками, с доступом к его\n^_^    нижней части, чтобы можно было подключить зарядку, наушники и не ^_^закрывать\n^_^    микрофон.\n^_^\n^_^    Значения по умолчанию основаны на Galaxy S7.\n"
"Depth of the phone. Used by the bottom support holding the phone, and the ^_^side tabs depth as well. Should be at least your material thickness for ^_^assembly reasons.","Глубина телефона. Используется нижней опорой, удерживающей телефон, а также ^_^глубиной боковых язычков. Должна быть не меньше толщины вашего материала для ^_^удобства сборки."
"Spacing between the two bottom support. Choose a value big enough for the ^_^charging cable, without getting in the way of other ports.","Расстояние между двумя нижними опорами. Выберите значение, достаточное для ^_^кабеля зарядки, чтобы не мешать другим портам."
\n^_^3-layer photo frame with a slot at the top to slide matboard/acrylic/glass ^_^over the photo after glue-up.\n,\n^_^3-слойная фоторамка с прорезью сверху для вставки паспарту/акрила/стекла ^_^над фотографией после склейки.\n
"\n^_^3-layer photo frame.\n^_^\n^_^Selected excellent features:\n^_^\n^_^* easy to change the photo after glue-up, without disassembling the frame\n^_^* calculates the ideal matting size for your photo based on ancient Greek ^_^mathematics\n^_^* can make the frame in one piece or split into 4 pieces to save material\n^_^* can make a frame to fit the piece of glass/acrylic you already have\n^_^* adds a hole for hanging the frame on the wall\n^_^\n^_^Features available in the mysterious future:\n^_^\n^_^* rounded corners\n^_^* a stand on the back to display the frame on a table\n^_^\n^_^## How to frame things like a pro\n^_^\n^_^There are 1 or 2 things that you can't change when framing: the size of the ^_^artwork\n^_^and the size of the glass. So we generate everything else to fit those ^_^measurements.\n^_^\n^_^Set `x` and `y` to the dimensions of the actual artwork.\n^_^\n^_^* If your photo has a border, measure inside it.\n^_^* If your photo does not have a border, still measure the actual artwork. ^_^Don't reduce the dimensions to allow for mounting. We do that separately.\n^_^\n^_^A real pro measures the photo, calculates the matting, and cuts the glass to ^_^fit the matting.\n^_^We will assume that you are not in fact a real pro, and can't be trusted ^_^with a glass cutter.\n^_^So measure your glass and we'll calculate the matting to suit it. If you ^_^aren't using glass,\n^_^we'll calculate the matting size based on \""golden ratio of areas\"" like the ^_^pros do. Everyone\n^_^will think your frame is perfect, but they won't know why.\n^_^\n^_^Matting is just cardboard. Its jobs are to keep the glass off the photo, ^_^provide a clean border around the artwork,\n^_^and make the whole thing look fancy. You can attach the photo to the matting ^_^or to the back of the frame.\n^_^Either way, the matting conceals all sorts of sins like bad cuts, glue ^_^marks, or mounting with blue painter's tape.\n^_^Matting also lets you reuse the frame for different sized photos. Just ^_^generate a new mat with the same glass dimensions.\n^_^\n^_^The hole in the matting is smaller than the photo. This is so the photo ^_^doesn't fall out.\n^_^Even if your photo has a border, the hole needs to be a bit smaller than the ^_^photo,\n^_^or you will struggle to line up the photo without the edges showing.\n^_^Recommended overlaps are given in the settings. Don't worry about \""losing\"" ^_^too much of the photo.\n^_^The matting will make the photo look bigger and more important. There's ^_^never anything\n^_^interesting in the last 2mm of a photo anyway.\n","\n^_^3-слойная фоторамка.\n^_^\n^_^Выделенные отличные особенности:\n^_^\n^_^* легко менять фотографию после склейки, не разбирая рамку\n^_^* рассчитывает идеальный размер паспарту для вашей фотографии на основе древнегреческой математики\n^_^* можно сделать рамку цельной или разделить на 4 части для экономии материала\n^_^* можно сделать рамку под имеющееся у вас стекло/акрил\n^_^* добавляет отверстие для подвешивания рамки на стену\n^_^\n^_^Особенности, которые появятся в будущем:\n^_^\n^_^* скругленные углы\n^_^* подставка сзади для размещения рамки на столе\n^_^\n^_^## Как оформить как профессионал\n^_^\n^_^Есть 1 или 2 вещи, которые нельзя изменить при оформлении: размер произведения\n^_^и размер стекла. Всё остальное подбирается под эти размеры.\n^_^\n^_^Установите `x` и `y` по размерам вашего изображения.\n^_^\n^_^* Если у фото есть рамка, измеряйте внутри неё.\n^_^* Если рамки нет, всё равно измеряйте само изображение. Не уменьшайте размеры для монтажа — это делается отдельно.\n^_^\n^_^Профессионал измеряет фото, рассчитывает паспарту и режет стекло под него.\n^_^Мы предполагаем, что вы не профессионал и вам нельзя доверять стеклорез.\n^_^Поэтому измерьте ваше стекло, и мы рассчитаем паспарту под него. Если стекла нет,\n^_^мы рассчитаем размер паспарту по \""золотому сечению площадей\"", как делают профи. Все\n^_^будут думать, что ваша рамка идеальна, но не поймут почему.\n^_^\n^_^Паспарту — это просто картон. Его задачи: не дать стеклу касаться фото, создать аккуратную рамку вокруг изображения\n^_^и сделать всё более презентабельным. Фото можно приклеить к паспарту или к задней стенке рамки.\n^_^В любом случае паспарту скрывает огрехи: неровные резы, следы клея или крепление малярным скотчем.\n^_^Паспарту позволяет использовать рамку для разных фото — просто сделайте новое паспарту под то же стекло.\n^_^\n^_^Отверстие в паспарту меньше, чем фото. Это чтобы фото не выпадало.\n^_^Даже если у фото есть рамка, отверстие должно быть чуть меньше фото,\n^_^иначе будет сложно выровнять фото без видимых краёв.\n^_^Рекомендуемые перекрытия указаны в настройках. Не переживайте, что \""потеряете\"" часть фото.\n^_^Паспарту визуально увеличит фото и придаст ему значимость. В последних 2 мм фото всё равно ничего интересного нет.\n"
"Do not assemble sides before attaching the lid!\n^_^    Hinge of the lid has to be placed first because it is impossible\n^_^    to get it in position without removing the side wall. The lid can\n^_^    be a bit tricky to assemble. Keep track of how the parts fit together.\n^_^    Part with label \""lid back\"" is placed in the hinges","Не собирайте боковые стенки до установки крышки!\n^_^    Петлю крышки нужно установить первой, иначе невозможно\n^_^    поставить её на место без снятия боковой стенки. Крышку\n^_^    собирать немного сложно. Следите, как детали соединяются.\n^_^    Деталь с надписью \""lid back\"" вставляется в петлю"
\n^_^You need (permanent) baking paper to create the conveyor. With that you can ^_^pick up and put down the pizza by moving the handle attached to the belt.\n^_^    ,\n^_^Вам понадобится (постоянная) пергаментная бумага для создания конвейера. С её помощью можно ^_^поднимать и опускать пиццу, двигая ручку, прикреплённую к ленте.\n^_^    
Diameter of the screw holes in the bottom of the pusher - where the screws ^_^pass through,"Диаметр отверстий под винты в нижней части толкателя — туда, где проходят винты ^_^pass through"
Diameter of the screw holes in the bottom of the pusher - where the screws ^_^hold,"Диаметр отверстий под винты в нижней части толкателя — туда, где винты ^_^hold"
Still has issues. The middle planetary gears set must not have a mashing sun ^_^gear as it can't be a proper gear set.,Проблемы всё ещё есть. Средний комплект планетарных шестерён не должен иметь зацепляющееся солнечное^_^ колесо, так как это не будет правильным редуктором.
"mounting patterns: x=xlr, m=midi, p=9v-power, w=6.5mm-wire, space=next row","варианты крепления: x=xlr, m=midi, p=9v-power, w=6.5мм-провод, space=следующий ряд"
"For short side walls that don't fit a connecting finger reduce ^_^*surroundingspaces* and *finger* in the Finger Joint Settings.\n^_^\n^_^The lids needs to be glued. For the bayonet lid all outside rings attach to ^_^the bottom, all inside rings to the top.\n","Для коротких боковых стенок, в которые не помещается соединительный палец, уменьшите ^_^*surroundingspaces* и *finger* в настройках Finger Joint.\n^_^\n^_^Крышки нужно приклеивать. Для байонетной крышки все внешние кольца крепятся к низу, все внутренние — к верху.\n"
\n^_^Default: edge_style = f Finger Joint:\n^_^![Finger Joint](static/samples/RoundedBox-2.jpg)\n^_^\n^_^Alternative: edge_style = h Edge (parallel Finger Joint Holes):\n^_^![Finger Joint Holes](static/samples/RoundedBox-3.jpg)\n^_^\n^_^With lid:\n,\n^_^По умолчанию: edge_style = f Finger Joint:\n^_^![Finger Joint](static/samples/RoundedBox-2.jpg)\n^_^\n^_^Альтернатива: edge_style = h Edge (параллельные отверстия для Finger Joint):\n^_^![Finger Joint Holes](static/samples/RoundedBox-3.jpg)\n^_^\n^_^С крышкой:\n
\n^_^![Lids off](static/samples/RoundedRegularBox2.jpg)\n,\n^_^![Крышки сняты](static/samples/RoundedRegularBox2.jpg)\n
Most of the blue lines need to be engraved by cutting with high speed and ^_^low power. But there are three blue holes that actually need to be cut: The ^_^grip hole in the lid and two tiny rectangles on the top and bottom for the ^_^lid to grip into.\n^_^\n^_^![Lid Details](static/samples/RoyalGame-2.jpg)\n^_^\n^_^![All pieces](static/samples/RoyalGame-3.jpg)\n^_^\n,Большинство синих линий нужно гравировать резкой на высокой скорости и ^_^низкой мощности. Но есть три синих отверстия, которые нужно вырезать: отверстие для захвата в крышке и два маленьких прямоугольника сверху и снизу, чтобы крышка могла зацепиться.\n^_^\n^_^![Детали крышки](static/samples/RoyalGame-2.jpg)\n^_^\n^_^![Все детали](static/samples/RoyalGame-3.jpg)\n^_^\n
