msgid,msgstr
Kamishibai Settings,Настройки камисибай
SheetWidth,ШиринаЛиста
width of the sheets in mm,ширина листов в мм
SheetHeight,ВысотаЛиста
height of the sheets in mm,высота листов в мм
SheetsStackDepth,ГлубинаСтопкиЛистов
Depth of the sheets stack in mm,Глубина стопки листов в мм
FrameThickness,ТолщинаРамы
Frame thickness in mm,Толщина рамы в мм
FrameCornerRadius,РадиусУглаРамы
Radius of the frame corners in mm,Радиус углов рамы в мм
Margin,Зазор
Margin for sheets and moving parts in mm,Зазор для листов и подвижных частей в мм
HandleThickness,ТолщинаРучки
Thickness of the top handle in multiples of thickness (Set to 0 for no handle),Толщина верхней ручки в кратных толщинах (Установите 0 для отсутствия ручки)
HandleWidth,ШиринаРучки
Width of the top handle in mm (Set to 0 for no handle) ; the SheetStackDepth should be at least 4 x thickness more,Ширина верхней ручки в мм (Установите 0 для отсутствия ручки) ; ГлубинаСтопкиЛистов должна быть как минимум в 4 раза больше толщины
HandleMargin,ЗазорРучки
Margin for the top handle in mm (Set to 0 for no margin),Зазор для верхней ручки в мм (Установите 0 для отсутствия зазора)
BackExtraDepth,ДополнительнаяГлубинаЗада
"Back extra depth (for adding buttons for example), in multiples of thickness ; set to 0 to let the system calculate the smallest one","Дополнительная глубина зада (для добавления кнопок, например), в кратных толщинах ; установите 0, чтобы система рассчитала наименьшую"
PegsWidthMargin,ЗазорШиринаШтифтов
"Margin for the pegs width in mm ; set to a lower value if the pieces are forced together, a higher value if the pieces slide easily into eachother (using screws or glue to assemble)","Зазор для ширины штифтов в мм ; установите меньшее значение, если детали принудительно соединяются, большее значение, если детали легко скользят друг в друга (используя винты или клей для сборки)"
Kamishibai front cover,Передняя крышка камисибай
FrontCoverStyle,СтильПереднейКрышки
style of the front cover,стиль передней крышки
slide-on lid,надвижная крышка
two-part lid with hinge eyes (both ends),двухчастная крышка с петлевыми проушинами (оба конца)
"three-part lid, higes not provided","трехчастная крышка, петли не предоставляются"
FrontExtraDepth,ДополнительнаяГлубинаПереда
"Front extra depth (for attaching hinges for example), in multiples of thickness ; set to 0 to ignore or let the system calculate the smallest one","Дополнительная глубина переда (для крепления петель, например), в кратных толщинах ; установите 0, чтобы игнорировать или позволить системе рассчитать наименьшую"
FrontLockStyle,СтильПереднегоЗамка
style of the front lock,стиль переднего замка
simple,простой
with key,с ключом
FrontExtraTopAndBottomLocks,ДополнительныеВерхниеИНижниеЗамкиПереда
Add front extra locks at the top and bottom,Добавить дополнительные передние замки сверху и снизу
Kamishibai 3 pane cover hinge holes,Отверстия петель трехпанельной крышки камисибай
HingeHolesDiameter,ДиаметрОтверстийПетель
Hinge hole diameter in mm (set to 0 for no holes),Диаметр отверстий петель в мм (установите 0 для отсутствия отверстий)
HingeHolesCoverEdgeDistance,РасстояниеОтверстийПетельКрышкиОтКрая
distance of the cover holes from the edge to the holes centers in mm,расстояние от края крышки до центров отверстий в мм
HingeHolesBoxEdgeDistance,РасстояниеОтверстийПетельКоробкиОтКрая
distance of the box holes from the edge to the holes centers in mm,расстояние от края коробки до центров отверстий в мм
HingeHolesCoverSeparation,РазделениеОтверстийПетельКрышки
separation of the cover holes from one another's center in mm (section parameter type) ; the first item is the distance from the border,разделение отверстий крышки от центра друг друга в мм (параметр типа секции) ; первый элемент - расстояние от границы
HingeHolesBoxSeparation,РазделениеОтверстийПетельКоробки
separation of the box holes from one another's center in mm (section parameter type) ; the first item is the distance from the border,разделение отверстий коробки от центра друг друга в мм (параметр типа секции) ; первый элемент - расстояние от границы
Screws parameters for attaching the pieces together,Параметры винтов для соединения деталей вместе
LockScrewDiameter,ДиаметрВинтаЗамка
Diameter of the screw holes in mm (set to 0 for no screws),Диаметр отверстий винтов в мм (установите 0 для отсутствия винтов)
TopLockScrewLength,ДлинаВерхнегоВинтаЗамка
Length of the top locking screws in mm,Длина верхних запорных винтов в мм
BottomLockScrewLength,ДлинаНижнегоВинтаЗамка
Length of the bottom locking screws in mm,Длина нижних запорных винтов в мм
DoorFeetScrewLength,ДлинаВинтаНожекДвери
Length of the door feet screws in mm (set to 0 for no screws),Длина винтов ножек двери в мм (установите 0 для отсутствия винтов)
LockNutThickness,ТолщинаГайкиЗамка
Thickness of the locking nuts in mm,Толщина запорных гаек в мм
LockNutWidth,ШиринаГайкиЗамка
Width of the locking nuts in mm,Ширина запорных гаек в мм
LockScrewDistanceFromBorder,РасстояниеВинтаЗамкаОтГраницы
Distance of the screw axis from the side border (in multiples of thickness),Расстояние оси винта от боковой границы (в кратных толщинах)
LockScrewExtraFeetScewDiameter,ДиаметрВинтаДополнительныхНожекЗамка
"Diameter of the screw holes for extra feet at the corners, in mm (set to 0 for no screws)","Диаметр отверстий винтов для дополнительных ножек в углах, в мм (установите 0 для отсутствия винтов)"
LockScrewExtraFeetDistanceFromBorder,РасстояниеВинтаДополнительныхНожекОтГраницы
"Distance from the border for the axis of the extra feet at the corners, in mm (set to 0 for no screws)","Расстояние от границы для оси дополнительных ножек в углах, в мм (установите 0 для отсутствия винтов)"
KeyHolder,ДержательКлюча
Wall organizer with hooks for keys or similar small items,Настенный органайзер с крючками для ключей или других мелких предметов
Example for a KeyHolder with a slightly larger backplate and 8 hooks. This uses 6mm plywood for extra stability.\n\nCloseup:\n\n![KeyHolder-2](static/samples/KeyHolder-2.jpg)\n\nFull picture:\n,"Пример держателя для ключей с немного большей задней панелью и 8 крючками. Для дополнительной прочности используется фанера толщиной 6 мм.\n\nКрупный план:\n\n![KeyHolder-2](static/samples/KeyHolder-2.jpg)\n\nОбщий вид:\n"
KeyHolder Settings,Настройки держателя ключей
num_hooks,Количество крючков
Number of hooks,Количество крючков
hook_distance,Расстояние между крючками
Distance between hooks,Расстояние между крючками
hook_thickness,Толщина крючка
Thickness of hook,Толщина крючка
hook_height,Высота задней части крючка
Height of back part of hook,Высота задней части крючка
padding_top,Отступ сверху от крючков
Padding above hooks,Отступ сверху от крючков
padding_left_right,Отступ слева/справа от крючков
Padding left/right from hooks,Отступ слева/справа от крючков
padding_bot,Отступ снизу от крючков
Padding below hooks,Отступ снизу от крючков
mounting,Добавить монтажные отверстия
Add mounting holes,Добавить монтажные отверстия
Keypad,Генератор клавиатур с механическими переключателями
Generator for keypads with mechanical switches.,Генератор клавиатур с механическими переключателями.
Note that top layers use a different material thickness according to the top1_thickness and top2_thickness (if enabled).,Обратите внимание, что верхние слои используют разную толщину материала в зависимости от top1_thickness и top2_thickness (если включено).
Keypad Settings,Настройки клавиатуры
top1_thickness,толщина слоя удержания кнопок, для переключателей типа cherry требуется 1.5 мм или меньше для фиксации
"thickness of the button hold layer, cherry like switches need 1.5mm or smaller to snap in","толщина слоя удержания кнопок, для переключателей типа cherry требуется 1.5 мм или меньше для фиксации"
top2_enable,включает дополнительный верхний слой для установки гнезд CPG151101S11 hotswap
enables another top layer that can hold CPG151101S11 hotswap sockets,включает дополнительный верхний слой для установки гнезд CPG151101S11 hotswap
top2_thickness,толщина слоя для горячей замены, гнезда CPG151101S11 требуют 1.2-1.5 мм
"thickness of the hotplug layer, CPG151101S11 hotswap sockets need 1.2mm to 1.5mm","толщина слоя для горячей замены, гнезда CPG151101S11 требуют 1.2-1.5 мм"
LaptopStand,Простая Х-образная подставка для ноутбука под углом
A simple X shaped frame to support a laptop on a given angle,Простая Х-образная подставка для ноутбука под углом
LaptopStand Settings,Настройки подставки для ноутбука
l_depth,глубина ноутбука (спереди назад, мм)
laptop depth - front to back (mm),глубина ноутбука (спереди назад, мм)
l_thickness,толщина ноутбука (мм)
laptop thickness (mm),толщина ноутбука (мм)
desired tilt of keyboard (deg),желаемый угол наклона клавиатуры (градусы)
ground_offset,желаемая высота между низом ноутбука и поверхностью в самой низкой точке (перед подставки)
desired height between bottom of laptop and ground at lowest point (front of laptop stand),желаемая высота между низом ноутбука и поверхностью в самой низкой точке (перед подставки)
nub_size,желаемая толщина поддерживающего края
desired thickness of the supporting edge,желаемая толщина поддерживающего края
LaserClamp,Зажим для фиксации материала на столе с ножами
A clamp to hold down material to a knife table,Зажим для фиксации материала на столе с ножами
You need a tension spring of the proper length to make the clamp work.\nIncrease extraheight to get more space for the spring and to make the\nsliding mechanism less likely to bind. You may need to add some wax on the\nparts sliding on each other to reduce friction.\n,"Вам потребуется пружина подходящей длины для работы зажима.\nУвеличьте extraheight, чтобы получить больше места для пружины и снизить вероятность заклинивания скользящего механизма. Возможно, потребуется нанести немного воска на скользящие части для уменьшения трения.\n"
LaserClamp Settings,Настройки зажима для лазера
minheight,минимальная высота зажима (мм)
minimal clamping height in mm,минимальная высота зажима (мм)
maxheight,максимальная высота зажима (мм)
maximal clamping height in mm,максимальная высота зажима (мм)
extraheight,дополнительная высота для более плавной работы (мм)
extra height to make operation smoother in mm,дополнительная высота для более плавной работы (мм)
LaserHoldfast,Зажим для сотовых столов лазерных резаков
A holdfast for honey comb tables of laser cutters,Зажим для сотовых столов лазерных резаков
LaserHoldfast Settings,Настройки зажима для сотового стола
hookheight,высота верхнего крючка
height of the top hook,высота верхнего крючка
shaftwidth,ширина стержня
width of the shaft,ширина стержня
LBeam,Простая L-образная балка: две детали соединены под прямым углом
Simple L-Beam: two pieces joined with a right angle,Простая L-образная балка: две детали соединены под прямым углом
LBeam Settings,Настройки L-образной балки
MagazineFile,Открытый лоток для журналов
Open magazine file,Открытый лоток для журналов
MagazineFile Settings,Настройки лотка для журналов
MakitaPowerSupply,Лабораторный блок питания на аккумуляторе Makita 18В или ноутбучном БП
Bench power supply powered with Maktia 18V battery or laptop power supply,Лабораторный блок питания на аккумуляторе Makita 18В или ноутбучном БП
"\nVitamins: DSP5005 (or similar) power supply, two banana sockets, two 4.8mm flat terminals with flat soldering tag\n\nTo allow powering by laptop power supply: flip switch, Lenovo round socket (or adjust right  hole for different socket)\n","Витамины: блок питания DSP5005 (или аналогичный), два гнезда «банан», два плоских клеммника 4.8 мм с ушком для пайки\n\nДля питания от ноутбучного БП: переключатель, круглый разъем Lenovo (или подберите отверстие под другой разъем)\n"
MakitaPowerSupply Settings,Настройки блока питания Makita
banana_socket_diameter,диаметр отверстий под гнезда «банан»
diameter of the banana socket mounting holes,диаметр отверстий под гнезда «банан»
flipswitch_diameter,диаметр отверстия под переключатель (отключено, если нет второго питания)
diameter of the flipswitch mounting hole (disabled of no secondary power),диаметр отверстия под переключатель (отключено, если нет второго питания)
secondary_power,тип второго входа питания
style of secondary power input,тип второго входа питания
ibm-barrel,ibm-barrel
usb-c,usb-c
Matrix,Корпус для матрицы WS2812b
WS2812b matrix enclosure,Корпус для матрицы WS2812b
"## Simple WS2812b matrix enclosure\n    WS2812b matrix enclosure for cheap chinease prebuild led matrixes.\n    This design assumes that the distance between the leds is equal in both directions.\n\n    There are several parts to this design:\n    - The inner frame to hold the pcb in place\n    - The front frame to hold a sandwich of plexiglass, spacer and the pcb\n    - The plexiglass to protect and diffuse the leds.\n        You may add car tint foil to the plexiglass to achieve a black look\n    - The spacer to keep the plexiglass from touching the leds\n    - The back box with an optional mounting hole. Please add a hole for the\n        power supply to the side panels and the power and data cables\n        through the led mount frame with your favorite svg editor.\n    - The side panels with finger joints to hold everything together\n\n    Assembly:\n    1. Cut the parts\n    2. Assemble the frame (side panels and inner frame)\n    3. Insert the pcb, the spacers and the plexiglass\n    4. Close the front frame\n    5. Insert electronics in the back box\n        (for example a USB C port on the side panel, a esp32 with wled firmware)\n    6. Close the back box\n\n    The inner frame and spacer should keep everything in place without the need for glue.\n    If you are using multiple modules,\n    you can add the layout parameters, so that the inner frame adjusts accordingly.\n\n    Please Note: if you are creating a large matrix build of multiple individual modules,\n    you need to enter absolute values across all modules for all parameters.\n    Please cut the plane labeled \""Plexiglass\"" out of plexiglass :)\n    You can use a different thickness for the plexiglass, but make sure to adjust the settings accordingly.\n    ","## Простой корпус для матрицы WS2812b\n    Корпус для матрицы WS2812b для дешевых китайских готовых led-матриц.\n    В этом проекте предполагается, что расстояние между светодиодами одинаково в обоих направлениях.\n\n    В конструкции несколько частей:\n    - Внутренняя рамка для фиксации платы\n    - Передняя рамка для фиксации сэндвича из оргстекла, прокладки и платы\n    - Оргстекло для защиты и рассеивания света светодиодов.\n        Можно добавить автомобильную тонировку для черного эффекта\n    - Прокладка, чтобы оргстекло не касалось светодиодов\n    - Задний короб с дополнительным отверстием для крепления. Добавьте отверстие для\n        блока питания на боковых панелях и для кабелей питания и данных\n        через рамку крепления светодиодов с помощью любимого SVG-редактора.\n    - Боковые панели с шиповым соединением для фиксации всей конструкции\n\n    Сборка:\n    1. Вырежьте детали\n    2. Соберите рамку (боковые панели и внутреннюю рамку)\n    3. Вставьте плату, прокладки и оргстекло\n    4. Закройте переднюю рамку\n    5. Установите электронику в задний короб\n        (например, порт USB C на боковой панели, esp32 с прошивкой wled)\n    6. Закройте задний короб\n\n    Внутренняя рамка и прокладка должны удерживать все на месте без клея.\n    Если вы используете несколько модулей,\n    можно добавить параметры компоновки, чтобы внутренняя рамка подстраивалась.\n\n    Важно: если вы собираете большую матрицу из нескольких отдельных модулей,\n    необходимо вводить абсолютные значения для всех параметров во всех модулях.\n    Вырежьте плоскость с надписью \"Plexiglass\" из оргстекла :)\n    Можно использовать оргстекло другой толщины, но не забудьте скорректировать настройки.\n    "
Matrix Settings,Настройки матрицы
led_width,Ширина матрицы светодиодов в пикселях
Width of the LED matrix in pixels,Ширина матрицы светодиодов в пикселях
led_height,Высота матрицы светодиодов в пикселях
Height of the LED matrix in pixels,Высота матрицы светодиодов в пикселях
pysical_led_y,Ширина платы матрицы светодиодов в мм
Width of the LED matrix pcb in mm,Ширина платы матрицы светодиодов в мм
pysical_led_x,Высота платы матрицы светодиодов в мм
Height of the LED matrix pcb in mm,Высота платы матрицы светодиодов в мм
matrix_back_frame_border,Край задней рамки для фиксации платы и обеспечения вентиляции и укладки кабелей
Border of the back frame bo keep the pcb in blace but allow for air flow and cable management,Край задней рамки для фиксации платы и обеспечения вентиляции и укладки кабелей
matrix_front_frame_border_offset,Смещение передней рамки для крепления оргстекла
Offset of the front frame to allow for the plexiglass to be attached,Смещение передней рамки для крепления оргстекла
distance_between_leds,Расстояние между цветными разделителями. Убедитесь, что ваш станок может вырезать тонкие элементы.
Distance of the color dividers. Make sure your machine is able to cut thin structures.,Расстояние между цветными разделителями. Убедитесь, что ваш станок может вырезать тонкие элементы.
Height of the matrix,Высота матрицы
height_pcb,Высота платы с учетом самых высоких не-светодиодных компонентов (мм)
Height of the pcb including the highest non led components in mm,Высота платы с учетом самых высоких не-светодиодных компонентов (мм)
plexiglass_thicknes,Толщина оргстекла (мм)
Thickness of the plexiglass in mm,Толщина оргстекла (мм)
Add mounting holes for the enclosure,Добавить монтажные отверстия для корпуса
mounting_hole_diameter,Диаметр монтажных отверстий (мм)
Diameter of the mounting holes in mm,Диаметр монтажных отверстий (мм)
matrix_count_x,Количество модулей по оси X
Number of modules in x direction,Количество модулей по оси X
matrix_count_y,Количество модулей по оси Y
Number of modules in y direction,Количество модулей по оси Y
SBCMicroRack,Сборные стойки для одноплатных компьютеров типа Raspberry Pi
Stackable rackable racks for SBC Pi-Style Computers,Сборные стойки для одноплатных компьютеров типа Raspberry Pi
SBCMicroRack Settings,Настройки SBCMicroRack
sbcs,Количество слотов для одноплатных компьютеров
how many slots for sbcs,Количество слотов для одноплатных компьютеров
clearance_x,Запас по ширине платы в корпусе (мм)
clearance for the board in the box (x) in mm,Запас по ширине платы в корпусе (мм)
clearance_y,Запас по высоте платы в корпусе (мм)
clearance for the board in the box (y) in mm,Запас по высоте платы в корпусе (мм)
clearance_z,Запас по высоте SBC (мм)
SBC Clearance in mm,Запас по высоте SBC (мм)
hole_dist_edge,Расстояние от отверстия до края (мм)
hole distance from edge in mm,Расстояние от отверстия до края (мм)
hole_grid_dimension_x,Ширина области отверстий по X
width of x hole area,Ширина области отверстий по X
hole_grid_dimension_y,Ширина области отверстий по Y
width of y hole area,Ширина области отверстий по Y
hole_diameter,Диаметры отверстий
hole diameters,Диаметры отверстий
netusb_z,Высота отверстия под сетевой/USB разъем (мм)
height of the net/usb hole mm,Высота отверстия под сетевой/USB разъем (мм)
netusb_x,Ширина отверстия под сетевой/USB разъем (мм)
width of the net/usb hole in mm,Ширина отверстия под сетевой/USB разъем (мм)
stable,"Сделать отверстия для установки штифта 1/4\" в основании и наверху"
"draw some holes to put a 1/4\"" dowel through at the base and top","Сделать отверстия для установки штифта 1/4\" в основании и наверху"
switch,"Добавляет дополнительный вертикальный сегмент для фиксации переключателя, лучше всего работает с --stable"
"adds an additional vertical segment to hold the switch in place, works best w/ --stable","Добавляет дополнительный вертикальный сегмент для фиксации переключателя, лучше всего работает с --stable"
NemaMount,Кронштейн для крепления двигателя Nema
Mounting bracket for a Nema motor,Кронштейн для крепления двигателя Nema
NemaMount Settings,Настройки крепления Nema
Nema size of the motor,Размер двигателя Nema
NemaPattern,Крепежные отверстия для двигателя Nema
Mounting holes for a Nema motor,Крепежные отверстия для двигателя Nema
NemaPattern Settings,Настройки крепежного шаблона Nema
screwholes,Размер отверстий под винты (мм) - 0 для размера по умолчанию
Size of the screw holes in mm - 0 for default size,Размер отверстий под винты (мм) - 0 для размера по умолчанию
NightLightBox,Простая декоративная лампа с креативно вырезанными пластинами
Simple decorative lamp with creatively laser cut plates,Простая декоративная лампа с креативно вырезанными пластинами
This is a simple light box with a closed compartment for electronics and the backlighting.,Это простая световая коробка с закрытым отсеком для электроники и подсветки.
NightLightBox Settings,Настройки светового короба
BoxStyle,Стиль коробки
minimalist,минималистичный
large face,большая лицевая панель
extra customizable face,дополнительная настраиваемая лицевая панель
PlateVisibleWidth,Ширина окна на передней панели (мм)
width of the window in the front panel in mm,Ширина окна на передней панели (мм)
PlateVisibleHeight,Высота окна на передней панели (мм)
height of the window in the front panel in mm,Высота окна на передней панели (мм)
WoodPlatesCount,Количество декоративных деревянных пластин
Number of decorative wood plates,Количество декоративных деревянных пластин
WoodPlateThickness,Толщина деревянных пластин (мм)
Thickness of the wood plates in mm,Толщина деревянных пластин (мм)
DiffuserPlateThickness,Толщина акриловой пластины-рассеивателя (мм)
Thickness of the background acrylic diffuser plate in mm,Толщина акриловой пластины-рассеивателя (мм)
BackgroundDepth,Глубина зоны для электроники и светодиодов (мм)
Depth of the background zone for the electronics and LEDs in mm,Глубина зоны для электроники и светодиодов (мм)
InterPlateSpacing,Расстояние между декоративными пластинами (мм)
Space between the decorative plates in mm,Расстояние между декоративными пластинами (мм)
Margin for moving parts in mm,Запас для подвижных частей (мм)
Night lightbox diffuser plate lock to prevent unwanted access to the electronics,Замок для пластины-рассеивателя для предотвращения несанкционированного доступа к электронике
DiffuserPlateTLockScrewDiameter,Диаметр отверстия под винт замка пластины-рассеивателя (мм)
Diameter of the background acrylic diffuser plate locking screw hole in mm,Диаметр отверстия под винт замка пластины-рассеивателя (мм)
DiffuserPlateTLockScrewLength,Длина винта замка пластины-рассеивателя (мм)
Length of the background acrylic diffuser plate locking screw in mm,Длина винта замка пластины-рассеивателя (мм)
DiffuserPlateTLockNutThickness,Толщина гайки замка пластины-рассеивателя (мм)
Thickness of the background acrylic diffuser plate locking nut in mm,Толщина гайки замка пластины-рассеивателя (мм)
DiffuserPlateTLockNutWidth,Ширина гайки замка пластины-рассеивателя (мм)
Width of the background acrylic diffuser plate locking nut in mm,Ширина гайки замка пластины-рассеивателя (мм)
"Night lightbox options for the back side (holes for connectors, marking)","Опции светового короба для задней стороны (отверстия для разъемов, маркировка)"
BackExtraHoles,Дополнительные отверстия
"extra holes for connectors or buttons ; enter one line per hole ; first parameter chould be R for rectangle or C for circle ; then X and Y position for the center of the hole, and then the X and Y size of the rectangle or the circle diameter, all in mm ; parameters should be separated by spaces","дополнительные отверстия для разъемов или кнопок; введите одну строку на отверстие; первый параметр — R (прямоугольник) или C (круг); затем X и Y — координаты центра отверстия, затем размеры прямоугольника по X и Y или диаметр круга, все в мм; параметры разделяйте пробелами"
NotesHolder,"Коробка для хранения стопки бумаги, подставок и т.д."
"Box for holding a stack of paper, coasters etc","Коробка для хранения стопки бумаги, подставок и т.д."
If the feet of the `Stackable` `bottom_edge`\ndon't fit on the front (and back) walls you can make them smaller by\nreducing `width` and/or increasing `angle` in the `Settings for\nStackable Edges`. Reducing the `opening` will also give more space for\nthe feet.,"Если ножки `Stackable` `bottom_edge` не помещаются на передней (и задней) стенках, вы можете сделать их меньше, уменьшив `width` и/или увеличив `angle` в `Settings for Stackable Edges`. Уменьшение `opening` также даст больше места для ножек."
NotesHolder Settings,Настройки держателя для заметок
percent of front (or back) that's open,процент открытой передней (или задней) части
back_openings,отверстия на задней стороне
"have openings on the back side, too","отверстия на задней стороне тоже"
OpenBox,Коробка с открытым верхом и передней частью
Box with top and front open,Коробка с открытым верхом и передней частью
OpenBox Settings,Настройки открытого короба
edgetype,тип края
edge type,тип края
OrganPipe,Прямоугольная органная труба на основе pipecalc
Rectangular organ pipe based on pipecalc,Прямоугольная органная труба на основе pipecalc
OrganPipe Settings,Настройки органной трубы
c#,до-диез
d,ре
d#,ре-диез
f#,фа-диез
g,соль
g#,соль-диез
a,ля
a#,ля-диез
b,си
octave,Октава
Octave in International Pitch Notation (2 == C),Октава в международной звуковысотной нотации (2 == C)
intonation,Интонация
"Intonation Number. 2 for max. efficiency, 3 max.","Номер интонации. 2 — максимальная эффективность, 3 — максимум."
mouthratio,Соотношение отверстия к окружности
mouth to circumference ratio (0.1 to 0.45). Determines the width to depth ratio,Отношение отверстия к окружности (0,1 до 0,45). Определяет соотношение ширины к глубине.
cutup,Соотношение выреза к отверстию
Cutup to mouth ratio,Соотношение выреза к отверстию
mensur,Мензура
Distance in halftones in the Normalmensur by Töpfer,Расстояние в полутонах в Normalmensur по Тёпферу
windpressure,Давление воздуха
uses unit selected below,использует выбранную ниже единицу
windpressure_units,единицы давления воздуха
in Pa,в Па
Pa,Па
mBar,мБар
mmHg,мм рт. ст.
mmH2O,мм вод. ст.
stopped,Закрытая труба
pipe is closed at the top,труба закрыта сверху
OttoBody,Otto LC — лазерный корпус для Otto DIY — корпус
Otto LC - a laser cut chassis for Otto DIY - body,Otto LC — лазерный корпус для Otto DIY — корпус
OttoBody Settings,Настройки OttoBody
OttoLegs,Otto LC — лазерный корпус для Otto DIY — ноги
Otto LC - a laser cut chassis for Otto DIY - legs,Otto LC — лазерный корпус для Otto DIY — ноги
OttoLegs Settings,Настройки OttoLegs
anklebolt1,диаметр отверстия для болта лодыжки — со стороны стопы
diameter for hole for ankle bolts - foot side,диаметр отверстия для болта лодыжки — со стороны стопы
anklebolt2,диаметр отверстия для болта лодыжки — со стороны ноги
diameter for hole for ankle bolts - leg side,диаметр отверстия для болта лодыжки — со стороны ноги
length,длина ног
length of legs (34mm min),длина ног (минимум 34 мм)
OttoSoles,Пенные подошвы для Otto bot
Foam soles for the OttO bot,Пенные подошвы для Otto bot
OttoSoles Settings,Настройки OttoSoles
width of sole stripe,ширина полоски подошвы
chamfer,фаска
chamfer at the corners,фаска на углах
number of soles,количество подошв
PaintStorage,Многоярусное хранилище для краски или других вещей
Stackable storage for hobby paint or other things,Многоярусное хранилище для краски или других вещей
PaintStorage Settings,Настройки PaintStorage
canheight,Высота банок с краской
Height of the paintcans,Высота банок с краской
candiameter,Диаметр банок с краской
Diameter of the paintcans,Диаметр банок с краской
minspace,Минимальное расстояние между банками
Minimum space between the paintcans,Минимальное расстояние между банками
additional_bottom,Дополнительное дно/пол с отверстиями для банок
Additional bottom/floor with holes the paintcans go through,Дополнительное дно/пол с отверстиями для банок
additional_top,Дополнительный верх/пол с отверстиями для банок
Additional top/floor with holes the paintcans go through,Дополнительный верх/пол с отверстиями для банок
hexpattern,Использовать шестиугольное расположение отверстий вместо ортогонального
Use hexagonal arrangement for the holes instead of orthogonal,Использовать шестиугольное расположение отверстий вместо ортогонального
drawer,Создать выдвижной ящик вместо этого
Create a stackable drawer instead,Создать выдвижной ящик вместо этого
PaperBox,Бумажная коробка с крышкой
"\nBox made of paper, with lid.\n","Коробка из бумаги с крышкой."
"\nThis box is made of paper.\n\nThere is marks in the \""outside leftover paper\"" to help see where to fold\n(cutting with tabs helps use them). The cut is very precise, and could be too tight if misaligned when glued. A plywood box (such as a simple TypeTray) of the same size is a great guide during folding and gluing. Just fold the box against it. Accurate quick and easy.\n\nA paper creaser (or bone folder) is also useful.\n","Эта коробка сделана из бумаги.\n\nНа «внешней оставшейся бумаге» есть метки, которые помогают увидеть, где сгибать (надрезы с язычками помогают их использовать). Рез делается очень точно, и может быть слишком тугим, если при склеивании детали смещены. Коробка из фанеры (например, простая TypeTray) такого же размера — отличный шаблон для сгибания и склеивания. Просто сгибайте коробку по ней. Быстро, точно и удобно.\n\nТакже полезен биговщик (или костяная палочка)."
PaperBox Settings,Настройки PaperBox
design,дизайн
different design for paper consumption optimization. The tuckbox also has locking cut for its lid.,другой дизайн для оптимизации расхода бумаги. Tuckbox также имеет фиксирующий вырез для крышки.
automatic,автоматический
widebox,широкая коробка
tuckbox,tuckbox
lid_height,Высота крышки
Height of the lid (part which goes inside the box),Высота крышки (часть, которая входит внутрь коробки)
lid_radius,Радиус крышки
"Angle, in radius, of the round corner of the lid","Угол (в радианах) закругленного угла крышки"
lid_sides,Ширина двух сторон, на которые надевается крышка
Width of the two sides upon which goes the lid,Ширина двух сторон, на которые надевается крышка
Margin for the glued sides,Запас для склеиваемых сторон
mark_length,Длина внешней линии сгиба
Length of the folding outside mark,Длина внешней линии сгиба
tab_angle_rad,Угол (в радианах) сторон, которые склеиваются внутри коробки
Angle (in radian) of the sides which are to be glued inside the box,Угол (в радианах) сторон, которые склеиваются внутри коробки
finger_hole_diameter,Диаметр отверстия для захвата крышки
Diameter of the hole to help catch the lid,Диаметр отверстия для захвата крышки
PhoneHolder,Подставка для смартфона
\nSmartphone desk holder\n,Подставка для смартфона на стол
"\n    This phone stand holds your phone between two tabs, with access to its\n    bottom, in order to connect a charger, headphones, and also not to obstruct\n    the mic.\n\n    Default values are currently based on Galaxy S7.\n","Эта подставка удерживает телефон между двумя выступами, оставляя доступ к нижней части для зарядки, наушников и не закрывая микрофон.\n\nЗначения по умолчанию рассчитаны на Galaxy S7."
PhoneHolder Settings,Настройки PhoneHolder
phone_height,Высота телефона
Height of the phone.,Высота телефона
phone_width,Ширина телефона
Width of the phone.,Ширина телефона
phone_depth,Глубина телефона
"Depth of the phone. Used by the bottom support holding the phone, and the side tabs depth as well. Should be at least your material thickness for assembly reasons.","Глубина телефона. Используется для нижней опоры и боковых выступов. Должна быть не меньше толщины материала для сборки."
